AR_ID,NID_ID,Dam_Name,Year_Removed,Latitude,Longitude,City_County,River,HUC8,State,Dam_Height_ft,Dam_Length_ft,Year_Built,Owner,Original Use,Type_Material,Miles_Restored_US,Miles_Restored_DS,River_Miles_Reported,Last_Updated,,,,,,,,,,
NY-011,NY01464,LaSalle Dam,2010,44.8799,-73.6563,Altona,Great Chazy River,Lake Champlain,NY,40,200,1923,Altona ,Hydropower,Concrete,,,,11/10/2017,,,,,,,,,,
NY-012,NY01111,William Miaski Dam,2010,42.535,-73.4183,Stephentown,trib to Kinderhook Creek,Middle Hudson,NY,13.5,,1970,Private,Recreational,Earthen,,,,11/10/2017,,,,,,,,,,
NY-013,NY13564,Breakneck Brook Dam,2011,41.44884,-73.9628,Putnam County,Breakneck Brook,Hudson-Wappinger,NY,18,490,,"NYS Office of Parks, Recreation and Historic Preservatio",Recreational,Concrete gravity,,,,11/10/2017,,,,,,,,,,
NY-014,NY12415,West Winfield Dam ,2011,42.88212,-75.191,Winfield,Unadilla River,Upper Susquehanna,NY,10,550,1913,Village of Winfield,,Concrete gravity/Earthen,,,,11/10/2017,,,,,,,,,,
NY-015,NY12073,Earl's Pond Dam,2011,42.85547,-75.6633,Madison County,Eaton Brook,Chenango,NY,15,300,1917,NY Dept of Environmental Conservation,,Earthen,,,,11/10/2017,,,,,,,,,,
NY-016,NY12013,Broome Corporate Park Pond Dam #1,2011,42.04028,-75.8092,Conklin,Tributary to Susquehannna River,Upper Susquehanna,NY,14,865,1987,Broome County Industrial  Development Authority,Flood control & stormwater management,Earthen,,,,11/10/2017,,,,,,,,,,
NY-017,,Jansen Road Dam,2011,41.72806,-74.0989,New Paltz,Unknown,Rondout,NY,20.5,50,,,Flood control and stormwater management,Earthen/Stone,,,,11/10/2017,,,,,,,,,,
NY-018,NY01046,Fowler Finch Dam,2011,42.31078605,-75.23842822,North Franklin,Tributary to Carrs Creek,Upper Susquehanna,NY,16,410,1958,Private,Recreation,Earthen,,,,11/10/2017,,,,,,,,,,
NY-019,,Hillburn Reservoir Dam,2012,41.12579,-74.1834,"Village of Hillburn, Rockland County",Tributary to Ramapo River,Hackensack-Passaic,NY,22,295,1906,,Water supply,Stone masonry,,,,11/10/2017,,,,,,,,,,
NY-020,,Eagle Lake Dam,2012,41.15317,-74.2381,"Town of Tuxedo, Orange County",Tributary to Summit Brook,Hackensack-Passaic,NY,10,400,,,Recreation,Earthen,,,,11/10/2017,,,,,,,,,,
NY-021,NY16901,Karpel Dam,2012,42.12414,-76.3472,Tioga County,Unnamed tributary to Pipe Creek,Owego-Wappasening,NY,14,100,,,Recreation,Earthen,,,,11/10/2017,,,,,,,,,,
NY-022,NY16039,M Seeman Dam,2012,42.93528,-75.9628,"Town of Pompey, Onondaga County",West Branch of Limestone Creek,Oneida,NY,40,,,,Recreation,Earthen,,,,11/10/2017,,,,,,,,,,
NY-023,NY00781,Lake Placid Village Dam,2014,44.27526,-73.9784,Lake Placid,Chubb River,Ausable River,NY,19,136,1936,Village of Lake Placid,Recreation,Concrete gravity,,,,11/10/2017,,,,,,,,,,
NY-024,,Chenango 7 Wildlife Pond Dam,2015,42.363836,-75.537906,Bainbridge,Tributary to Kelsey Creek,Upper Susquehanna,NY,8,200,,NY Dept of Environmental Conservation,,Earthen,,,,11/10/2017,,,,,,,,,,
NY-025,,Petro Dam (Lower Mill Brook Dam),2015,44.048722,-73.474667,Moriah,Mill Brook,Lake Champlain,NY,,,,Petro family (private),,Cobbles/boulders/rocks/cement,,,0,11/10/2017,,,,,,,,,,
NY-026,,Saw Mill Dam,2015,44.366386,-73.391383,Willsboro,Bouquet River,Lake Champlain,NY,9,200,,Village of Willsboro,,Timber crib,,,,11/10/2017,,,,,,,,,,
NY-027,,Harrison's Pond Dam,2010,40.89364,-73.22814,King's Park,unnamed tributary of the Nissequogue River,,NY,,,prior to 1810,,Ice harvesting,,,,0.4,11/10/2017,,,,,,,,,,
NY-028,,Ausable Quarry Dam,2016,44.303889,-73.924167,Lake Placid,West Branch Ausable River,Ausable River,NY,,,,,,,,,,11/10/2017,,,,,,,,,,
NY-029,,Hogansburg Dam,2016,44.974188,-74.665188,Hogansburg / Franklin County,Saint Regis River,St. Regis,NY,12,281,1929,"Erie Boulevard Hydro, L.P. and Saint Regis Mohawk Tribe ", Hydropower,Reinforced concrete ogee spillway with integral intake / Powerhouse,,,555,11/10/2017,,,,,,,,,,
NY-030,,Shapp Pond Dam,2016,41.8125,-73.758889,Dutchess County,East Branch Wappinger Creek,Hudson-Wappinger,NY,12,73,1967,Hillary Kilros,,Concrete,,,~5,11/10/2017,,,,,,,,,,
NY-031,,Wynantskill Dam (Hudson Valley Fuel Dam),2016,42.705278,-73.698889,Troy,Wynantskill Creek,Middle Hudson,NY,,40,1931,City of Troy,,Metal,,,0.25,11/10/2017,,,,,,,,,,
NY-032,,Gaynor Dam (The State Dam),2012,43.032389,-76.013898,Fayetteville,Limestone Creek,,NY,,,~1896,Village of Fayetteville,,Limestone blocks,,,,11/10/2017,,,,,,,,,,
NY-033,NY01436,Chubb River Dam,2013,44.2794,-73.9803,Lake Placid/Essex County,Chubb River,Upper Hudson ,NY,~10,~75,Originally 1809; 1905 replaced by concrete dam,Village of Lake Placid,"Hydropower for the manufacture of bat and hoop iron, steel anchors, and nail rods from local ore",Concrete,,,~0.22 miles,2/5/2019,,,,,,,,,,
NY-034,NY12273,Oriskany Falls Dam,2018,42.9211,-75.4797,Oriskany/Madison,Tributary to Oriskany Creek,Chenango ,NY,15,95,1917,Village of Oriskany Falls,Water supply,Buttress,,,,2/5/2019,,,,,,,,,,
NY-035,,Prison Dam ,2018,,,,,,NY,,,,,,,,,,2/5/2019,,,,,,,,,,
NY-036,NY00243,Rome Dam,2018,44.44,-73.7055,Ausable Forks,West Branch Ausable,Ausable ,NY,37,205,1936,Town of Jay; originally J. & J. Rogers Company  ,Paper mill dam,Concrete ,,,,2/5/2019,,,,,,,,,,
NY-037,NY01653,Sidney Reservoir Dam,2018,42.3297,-75.4247,Bainbridge/Chanango,Peckham Brook,Upper Susquehanna ,NY,20,300,1908,Village of Sidney,Water supply,Masonry/Earthen,,,,2/5/2019,,,,,,,,,,
NY-038,,Nicholson Road Dam,2019,41.528145,-73.687145,East Fishkill,Unnamed tributary of Stump Pond Stream,Hudson-Wappinger,NY,,,,New York City Department of Environmental Protection,,Earthen,,,,2/6/2020,,,,,,,,,,
OH-001,,Silver Creek Dam,,41.46205,-81.3263,Novelty,Silver Creek,Ashtabula-Chagrin,OH,,,,,,,,,,11/10/2017,,,,,,,,,,
OH-002,,Jones Lake Dam,,39.72322,-82.0475,Bearfield Township,Ogg Creek,Muskingum,OH,20,,,,,,,,,11/10/2017,,,,,,,,,,
OH-003,,Consol Pond Dam,,40.0436,-81.1116,Bethesda,Stillwater Creek,Tuscarawas,OH,12,,,,,,,,,11/10/2017,,,,,,,,,,
OH-004,,Williams Dam,,39.80333,-82.0322,Roseville,Tributary to Brush Creek,Muskingum,OH,40,,,,,,,,,11/10/2017,,,,,,,,,,
OH-005,,Howard’s Lake Dam,,39.42778,-82.0786,Millifield,Tributary to Jackson Run,,OH,,,,,,,,,,11/10/2017,,,,,,,,,,
OH-006,,Lake Hill #2 Dam,,40.07613,-81.1805,Barnesville,Tributary to Robinson Run,Tuscarawas,OH,30,,,,,,,,,11/10/2017,,,,,,,,,,
OH-007,,Strip Mine Pond Dam,,40.08192,-81.1719,Barnesville,Tributary to McLuney Creek,Tuscarawas,OH,25,,,,,,,,,11/10/2017,,,,,,,,,,
OH-008,,Lake Hill Dam #1,,,,,Tributary to Robinson Run,,OH,30,,,,,,,,,11/10/2017,,,,,,,,,,
OH-009,,Ashworth Lake Dam,,39.7148,-84.6399,Eaton,Tributary to Seven Mile Creek,"Lower Great Miami, Indiana, Ohio",OH,25,,,,,,,,,11/10/2017,,,,,,,,,,
OH-010,,Foxtail Dam,,,,,,,OH,30,,,,,,,,,11/10/2017,,,,,,,,,,
OH-011,OH01488,Marshfield Lake Dam,1973,41.45097,-81.9595,Westlake,Porter Creek,Black-Rocky,OH,15,,,,,,,,,11/10/2017,,,,,,,,,,
OH-012,,Mastrine Pond Dam,1978,39.47962,-82.6447,Laurelville,Tributary to Little Pine Creek,Lower Scioto,OH,15,,,,,,,,,11/10/2017,,,,,,,,,,
OH-013,,Fair Haven Lake Dam,1980,38.51056,-82.6033,Perry,Tributary to Ice Creek,Little Scioto-Tygarts,OH,30,,,,,,,,,11/10/2017,,,,,,,,,,
OH-014,,Yankee Lake Dam,1980,41.26587,-80.5608,Yankee Lake,Yankee Run,Shenango,OH,26,,,,,,,,,11/10/2017,,,,,,,,,,
OH-015,,Modoc Reservoir Dam,1981,39.47833,-82.1331,Wayne National Forest Athens Ranger District,Modoc Run,Hocking,OH,24,,,,,,,,,11/10/2017,,,,,,,,,,
OH-016,,Foster Dam,1984,39.31947,-84.2516,Maineville,Little Miami River,Little Miami,OH,,,,,,,,,,11/10/2017,,,,,,,,,,
OH-017,,Derby Petroleum Lake Dam,1984,39.95338,-82.0948,Zainesville,Tributary to Timber Run,Licking,OH,30,,,,,,,,,11/10/2017,,,,,,,,,,
OH-018,,Carr Lake Dam,1985,39.83992,-81.5415,Pleasant City,Tributary to Johnny Woods River,Little Muskingum-Middle Island,OH,10,,,,,,,,,11/10/2017,,,,,,,,,,
OH-019,,Wonder Lake Dam,1986,40.98444,-81.5112,Akron,Tributary to East Reservoir,Tuscarawas,OH,15,,,,,,,,,11/10/2017,,,,,,,,,,
OH-020,,Dutiel Pond Dam,1986,40.24361,-82.4381,Utica,Tributary to Licking River,Licking,OH,14,,,,,,,,,11/10/2017,,,,,,,,,,
OH-021,,Ohio Power Company Pond Dam,1987,,,,Brannon Fork,Muskingum,OH,13,,,,,,,,,11/10/2017,,,,,,,,,,
OH-022,,Ohio Power Company Pond Dam,1987,39.76667,-81.7083,Cumberland,Collins Fork,Muskingum,OH,17,,,,,,,,,11/10/2017,,,,,,,,,,
OH-023,,Poston Fresh Water Pond Dam,1988,39.33889,-82.1778,Athens,Tributary to Hamley Run,Hocking,OH,42,,,,,,,,,11/10/2017,,,,,,,,,,
OH-024,,Georgetoen Freshwater Dam,1988,40.20278,-80.9464,Cadiz,Tributary to South Fork,Upper Ohio-Wheeling,OH,13,,,,,,,,,11/10/2017,,,,,,,,,,
OH-027,,Chapel Church Lake Dam,1989,,,,Tributary to Silver Creek,,OH,,,,,,,,,,11/10/2017,,,,,,,,,,
OH-028,,State Route 800 Dam,1989,40.0429,-81.1608,Barnesville,Tributary to Spencer Creek,Tuscarawas,OH,25,,,,,,,,,11/10/2017,,,,,,,,,,
OH-029,,Okie Rice Dam (Little Darby Dam),1990,39.89377,-83.2187,Galloway,Little Darby Creek,Upper Scioto,OH,12,,,,,,,,,11/10/2017,,,,,,,,,,
OH-030,,Slippery Run (Stahl) Dam,1990,,,,,,OH,14,,,,,,,,,11/10/2017,,,,,,,,,,
OH-031,,Toronto Band Father’s Lake Dam,1991,40.50974,-80.7305,Toronto,Town Fork,Upper Ohio ,OH,15,,,,,,,,,11/10/2017,,,,,,,,,,
OH-032,,Cottingham Lake Dam,1991,39.36389,-82.12,The Plains,Tributary to Hocking River,Hocking,OH,17,,,,,,,,,11/10/2017,,,,,,,,,,
OH-033,,Armington Dam #2,1991,,,,,,OH,15,,,,,,,,,11/10/2017,,,,,,,,,,
OH-034,,Burt Lake Dam,1992,41.10709,-84.4185,Oakwood,Tributary to Little Auglaize River,Auglaize,OH,18,,,,,,,,,11/10/2017,,,,,,,,,,
OH-035,,Jacoby Road Dam,1997,39.764130,-83.901700,"Greene, OH",Little Miami River,Little Miami,OH,8,100,1910,,Hydropower,,,,,11/10/2017,,,,,,,,,,
OH-036,,Milan Wildlife Area Dam (Coho Dam),2002,41.290810,-82.637100,"Milan Township, OH",Huron River,Huron-Vermilion,OH,5,114,1960s,Ohio Dept Natural Resources,,Concrete arch,,,,11/10/2017,,,,,,,,,,
OH-037,,Dennison Dam,2002,40.242560,-83.060400,Delaware,Olentangy River,Upper Scioto,OH,4,225,Early 1900s,,Hydropower,Concrete arch,,,,11/10/2017,,,,,,,,,,
OH-038,,Camp Miaconda Dam,2003,41.691870,-83.675000,"Lucas, OH",Ottawa River,Ottawa-Stony,OH,5,50,,"Boy Scouts of America, Erie Shores Council",Recreation,Concrete arch,,,,11/10/2017,,,,,,,,,,
OH-039,,St. John's Dam,2003,41.02999,-83.2158,Tiffin,Sandusky River,Sandusky,OH,7,150,Early 1900s,Ohio-American Water Company,Hydropower; water supply until 1988,,,,,11/10/2017,,,,,,,,,,
OH-041,,Munroe Falls Dam,2006,41.14136,-81.4367,Munroe Falls,Cuyahoga River,Cuyahoga,OH,13,,1817,,Water supply,1817 wood; 1903 rebuilt masonry,,,,11/10/2017,,,,,,,,,,
OH-042,,Wolfe Park Dam,2008,39.96407,-82.9479,Columbus and Bexley,Alum Creek,Upper Scioto,OH,4,,1930s,,Recreation,Cut stone blocks,,,,11/10/2017,,,,,,,,,,
OH-043,,Nelson Park Dam,2008,39.97605,-82.9452,Columbus and Bexley,Alum Creek,Upper Scioto,OH,4,,1930s,,Recreation; perhaps water supply originally,Masonry; rock; concrete; rebar,,,,11/10/2017,,,,,,,,,,
OH-044,OH00432,Englewood Reserve Dam,2009,39.871048,-84.286858,Englewood,Stillwater River,"Upper Great Miami, Indiana, Ohio",OH,8,150,1920s,,Flood control,Concrete,,,1,11/10/2017,,,,,,,,,,
OH-045,,Panhandle Road Dam,2010,40.322710,-83.070400,"Troy Township, Delaware Co",Olentangy River,Upper Scioto,OH,4,,1941,Both state and privately owned,Recreational structure,Concrete,,,,11/10/2017,,,,,,,,,,
OH-046,,East Branch Dam,2010,41.560380,-81.529800,Euclid,Euclid Creek,Ashtabula-Chagrin,OH,6,40,1933,YMCA camp,Swimming,Concrete,,,,11/10/2017,,,,,,,,,,
OH-047,,Williamsport Dam ,2010,,,,Deer Creek,Ohio Brush-Whiteoak,OH,,,,,,,,,88,11/10/2017,,,,,,,,,,
OH-048,,German Farm Dam,2012,40.85837,-84.2898,Allen County,Auglaize River,Auglaize,OH,6,,1930s,Publicly owned ,Recreation,"Concrete arch dam, was modified from a timber crib dam",,,,11/10/2017,,,,,,,,,,
OH-049,,5th Avenue Dam,2012,39.98881,-83.0245,Columbus,Olentangy River,Upper Scioto,OH,8,,1935,Ohio State University powerplant - has not been in use since 1950s,Hydropower,Concrete arch dam,,,,11/10/2017,,,,,,,,,,
OH-050,,Baldwin Creek Dam 1,2012,41.366038,-81.85469,Berea,Rocky River,Black-Rocky,OH,3,30,1980,City of Berea,Grade control and pool water for intake,Concrete,,,1,11/10/2017,,,,,,,,,,
OH-051,,Baldwin Creek Dam 2,2012,41.36528,-81.8554,Berea,Rocky River,Black-Rocky,OH,1.5,20,1980,City of Berea,Grade control and pool water for intake,Concrete base with flash boards,,,1,11/10/2017,,,,,,,,,,
OH-052,,Baldwin Creek Dam 3,2012,41.3611,-81.8531,Berea,Rocky River,Black-Rocky,OH,5,20,1980,City of Berea,Grade control and pool water for intake,Concrete,,,1,11/10/2017,,,,,,,,,,
OH-053,OH01108,LeFever Powerhouse Dam,2013,41.13703,-81.4816,Cuyahoga Falls,Cuyahoga River,Cuyahoga,OH,,,,,Hydropower,,,,,11/10/2017,,,,,,,,,,
OH-054,,Sheraton Mill Dam,2013,41.13321,-81.4823,Cuyahoga Falls,Cuyahoga River,Cuyahoga,OH,,,Early 1900s,,Hydropower,Low-head dam,,,,11/10/2017,,,,,,,,,,
OH-055,,Fink Dam,2014,41.23775,-81.57370,Peninsula,Unnamed tributary to Cuyahoga River,Cuyahoga,OH,15,100,,National Park Service,,Earthen,,,,11/10/2017,,,,,,,,,,
OH-056,,Harpham Dam,2014,41.2384,-81.5847,Peninsula,Unnamed tributary to Cuyahoga River,Cuyahoga,OH,20,135,,National Park Service,,Earthen,,,,11/10/2017,,,,,,,,,,
OH-057,,Heart Break Dam,2014,41.22778,-81.5583,Peninsula,Unnamed tributary to Cuyahoga River,Cuyahoga,OH,15,100,,National Park Service,,Earthen,,,,11/10/2017,,,,,,,,,,
OH-058,,Oscada Dam,2014,41.23892,-81.5707,Peninsula,Unnamed tributary to Cuyahoga River,Cuyahoga,OH,25,260,,National Park Service,,Earthen,,,,11/10/2017,,,,,,,,,,
OH-059,,Pittinger Dam,2014,41.20471,-81.52160,Peninsula,Unnamed tributary to Cuyahoga River,Cuyahoga,OH,20,200,,National Park Service,,Earthen,,,,11/10/2017,,,,,,,,,,
OH-060,OH00519,West Milton Dam,2014,39.97701,-84.325,"West Milton, OH",Stillwater River,"Upper Great Miami, Indiana, Ohio",OH,13,305,1918,City of West Milton,Hydropower,Low-head dam/Concrete,,,2.2,11/10/2017,,,,,,,,,,
OH-061,OH00745,Main Street Dam,2013,39.95565,-83.0077,Columbus,Scioto River,Upper Scioto,OH,,,1921,,,,,,,11/10/2017,,,,,,,,,,
OH-062,,Secor Road Dam,2007,41.657500,-83.620278,Toledo,Ottawa River,Ottowa-Stony,OH,9,50,1920s (rebuilt 1960s),Village of Ottowa Hills,Prevent road flooding,Concrete arch,,,,11/10/2017,,,,,,,,,,
OH-063,,Morrow Lake Dam,2015,,,Jackson County,Flint Run,,OH,38.6,275,,Buckeye Furnace Mining Co. LLC,,Earthen,,,,11/10/2017,,,,,,,,,,
OH-064,,Central Avenue Dam,2008,40.300679,-83.063263,Columbus,Olentangy River,Upper Scioto,OH,4,200,1955,City of Delaware,Recreation,Masonry,,,,11/10/2017,,,,,,,,,,
OH-065,,Middletown Hydraulic Dam,1993,39.542304,-84.363254,Butler County,Great Miami River,Lower Great Miami  ,OH,10,,1840,Abandoned,Navigation,Timber crib/masonry,,,,11/10/2017,,,,,,,,,,
OH-066,,Lovers Lane Dam,2005,41.2406123,-80.8648078,Warren,Mahoning River,Mahoning,OH,4,300,,Abandoned,Water for industry,Rocks,,,,11/10/2017,,,,,,,,,,
OH-067,,North River Road Dam,2005,41.2389474,-80.8819869,Warren,Mahoning River,Mahoning,OH,4,300,,,Water for industry,Rocks,,,,11/10/2017,,,,,,,,,,
OH-068,,River Street Dam,2006,40.293967,-83.060427,Delaware,Olentangy River,Upper Scioto,OH,3.5,185,1950s,City of Delaware,Flood control/recreation,Concrete arch,,,,11/10/2017,,,,,,,,,,
OH-069,OH02100,Bradford Sewage Lagoon I,2017,40.135,-84.42166,Miami,Offstream - near Ballinger Run,Upper Great Miami,OH,14.5,2140,1963,Village of Bradford,Waste Retention,Earthen,,,,2/8/2018,,,,,,,,,,
OH-070,OH02101,Bradford Sewage Lagoon II,2017,40.13611,-84.42166,Miami,Offstream - near Ballinger Run,Upper Great Miami,OH,9.6,2320,1963,Village of Bradford,Waste Retention,Earthen,,,,2/8/2018,,,,,,,,,,
OH-071,OH00884,Conservation Pond No. 1 (Jockey Hollow No. 1) Dam,2017,40.19083,-81.11277,Harrison,Tributary to Boggs Fork,Tuscarawas,OH,,,,"ODNR, Division of Wildlife","Mining then Recreation, Public",Earthen,,,0.58,2/8/2018,,,,,,,,,,
OH-072,OH00885,Conservation Pond No. 2 (Jockey Hollow No. 2) Dam,2017,40.18972,-81.11722,Harrison,Tributary to Boggs Fork,Tuscarawas,OH,73,650,1952,"ODNR, Division of Wildlife","Mining then Recreation, Public",Earthen,,,0.25,2/8/2018,,,,,,,,,,
OH-073,OH00886,Conservation Pond No. 3 (Jockey Hollow No. 3) Dam,2017,40.19944,-81.09111,Harrison,Tributary to Boggs Fork,Tuscarawas,OH,52.1,300,,"ODNR, Division of Wildlife","Mining then Recreation, Public",Earthen,,,0.18,2/8/2018,,,,,,,,,,
OH-074,OH00645,Killdeer Upground Reservoir,2017,40.70833,-83.375,Wyandot,Offstream - near Tymochtee Creek,Sandusky,OH,45.5,,1971,ODNR,"Recreation, Public",Earthen,,,,2/8/2018,,,,,,,,,,
OH-075,OH02317,Whispering Pines Lake Dam,2017,41.01666,-81.19666,Portage,Tributary to Deer Creek,Mahoning,OH,13,615,1950,Atwater Pines LLC,"Recreation, Private",Earthen,,,,2/8/2018,,,,,,,,,,
OH-076,,Willow Grove Park Dam,2017,40.773576,-80.779481,Lisbon,Little Beaver Creek,,OH,6,,,,,,,,,2/8/2018,,,,,,,,,,
OH-077,OH00809,Ballville Dam,2018,41.32638,-83.13638,Fremont/Sandusky ,Sandusky River,Sandusky ,OH,34.4,423,1911,City of Fremont (originally Freemont Power and Light),Hydropower,Concrete Gravity,,,,2/5/2019,,,,,,,,,,
OH-078,OH02636,Pres Vannes Lake Dam,2018,40.80583,-81.7325,Dalton/Wayne ,Tributary to Sugar Creek,Tuscarawas ,OH,17.6,211,1951,"Pres Vannes, Inc. ",Private recreation,Earthfill,,,,2/5/2019,,,,,,,,,,
OH-079,OH00424,Tait Station Dam,2018,39.73,-84.21111,Dayton/Montgomery ,Great Miami River,Lower Great Miami ,OH,4,625,1935,Miami Conservancy District,Water cooling for power plant production,Conrete,,,,2/5/2019,,,,,,,,,,
OH-080,,Williamsburg Low-Head Dam,2018,39.06219502,-84.05537724,"Village of Williamsburg, Clermont County",East Fork of the Little Miami River,Little Miami,OH,6.5,120,1940s,Village of Williamsburg,,Timber cribbing/concrete overlay w/rebar,50+ ,10,,6/19/2019,,,,,,,,,,
OH-081,,Cilley Creek Dam ,2017,,,Wyoming,Cilley Creek,,OH,,,,,,,,,,,,,,,,,,,,
OH-082,,Batavia Dam,2019,39.077,-84.182,Batavia,Little Miami River,Little Miami,OH,,,1945,Village of Batavia,Water Supply,Concrete,,,,2/6/2020,,,,,,,,,,
OH-083,OH01611,Burton Lake Dam,2019,41.4302778,-81.1861111,Geauga,Bridge Creek,Cuyahoga,OH,9.1,575,1952,Geauga County Board of Comm.,Recreation/Private,Dam & Spillway/Earthfill,,,,2/6/2020,,,,,,,,,,
OH-084,OH02490,Kinsman Lake Dam,2019,41.4494444,-80.58,Trumbull,Stratton Creek,Shenango,OH,23,570,~1930,Kinsman Lakeland Assoc.,Recreation/Private,Dam & Spillway/Earthfill,,,,2/6/2020,,,,,,,,,,
OH-085,,Sauder Lake Dam,2019,40.9155556,-82.5297222,Richland,unnamed tributary to Black Fork Mohican River,Mohikan,OH,31.4,175,1990's,Ivan Sauder,Recreation/Private,Dam & Spillway/Earthfill,,,,2/6/2020,,,,,,,,,,
OR-001,,Lafayette Locks Dam,1963,45.230820,-123.104000,Dayton,Yamhill Basin,Yamhill,OR,25,125,1900,,,,,,,11/10/2017,,,,,,,,,,
OR-002,,Catching Dam,1994,43.75717,-122.499,Westfir,North Fork Middle Fork Willamette River,Middle Fork Willamette,OR,28,225,,,,,,,,11/10/2017,,,,,,,,,,
OR-003,,Marie Dorian Dam,1997,45.90616,-118.366,Milton-Freewater,Walla Walla River,Walla Walla,OR,8,100,,,,,,,,11/10/2017,,,,,,,,,,
OR-004,,Jackson Street Dam,1998,42.33172,-122.872,Medford ,Bear Creek,Middle Rogue,OR,11,120,,,,,,,,11/10/2017,,,,,,,,,,
OR-005,,Alphonso Dam,1999,42.594940,-122.975000,Rogue River,Evans Creek,Middle Rogue,OR,10,56,1890,,,,,,,11/10/2017,,,,,,,,,,
OR-006,,Unnamed Dam,1999,,,,Poorman Creek,Crosswicks-Neshaminy,OR,,,,,,,,,,11/10/2017,,,,,,,,,,
OR-007,,Lithia Park Dam 1,2000,42.197700,-122.716000,Ashland,Ashland Creek,Middle Rogue,OR,,,,,,,,,,11/10/2017,,,,,,,,,,
OR-008,,Lithia Park Dam 2,2000,42.197580,-122.716000,Ashland,Ashland Creek,Middle Rogue,OR,,,,,,,,,,11/10/2017,,,,,,,,,,
OR-009,,Lithia Park Dam 3,2000,42.196090,-122.716000,Ashland,Ashland Creek,Middle Rogue,OR,,,,,,,,,,11/10/2017,,,,,,,,,,
OR-010,,Krouse-Haggar Push-up Dam,2002,42.276210,-123.212000,Grants Pass,Applegate River,Applegate,OR,,,,,,,,,,11/10/2017,,,,,,,,,,
OR-011,,Byrne Diversion Dam,2002,42.116550,-123.052000,Jacksonville,Beaver Creek,Applegate,OR,3,,,,,,,,,11/10/2017,,,,,,,,,,
OR-012,,Maple Gulch Diversion Dam,2002,42.5787,-123.0377,Rogue River,Evans Creek,Middle Rogue,OR,,,,,,,,,,11/10/2017,,,,,,,,,,
OR-013,,Rock Creek Dam,2002,44.904014,-118.068178,Haines,Tributary to the Powder River,Powder,OR,13,,,,,,,,,11/10/2017,,,,,,,,,,
OR-014,,Dinner Creek Dam,2003,,,,Dinner Creek,,OR,10,35,,,,,,,,11/10/2017,,,,,,,,,,
OR-015,,Buck & Jones Diversion Dam,2003,42.175070,-123.003000,Jacksonville,Little Applegate River,Applegate,OR,5,100,,,,,,,,11/10/2017,,,,,,,,,,
OR-016,,Unnamed Dam,2003,,,,Wagner Creek,Crosswicks-Neshaminy,OR,4,,,,,,,,,11/10/2017,,,,,,,,,,
OR-017,,Brownsville Dam,2007,44.38784,-122.933,Brownsville,Calapooia River,Upper Willamette,OR,5,,1858,Divert water for a millrace,,,,,40,11/10/2017,,,,,,,,,,
OR-018,,Marmot Dam,2007,45.39956,-122.133,Sandy,Sandy River,Lower Columbia-Sandy,OR,47,,1912,Pacific Gas and Electric Co.,Originally part of the Bull Run hydropower project.,,,,,11/10/2017,,,,,,,,,,
OR-019,,South Fork Klaskanine Dam,2007,46.051690,-123.726000,Astoria,South Fork Klaskanine River,Lower Columbia,OR,12,,1980,,Divert water to a commercial hatchery,,,,2.25,11/10/2017,,,,,,,,,,
OR-020,OR82202,Elk Creek Dam,2008,42.67935,-122.737,Jackson County,Elk Creek,Upper Rogue,OR,,,,Army Corps of Engineers,Flood control,Concrete,,,,11/10/2017,,,,,,,,,,
OR-021,,Gold Hill Dam,2008,42.4591,-123.021000,Gold Hill  River Mile 121,Rogue River,Middle Rogue,OR,9,,1931,Originally Ideal Cement Company; owned by City of Gold Hill at time of removal,Diversion Dam,Concrete,,,,11/10/2017,,,,,,,,,,
OR-022,OR03753,Chiloquin Dam,2008,42.56261,-121.862,Chiloquin,Sprague River,Sprague,OR,,,,,,,,,80,11/10/2017,,,,,,,,,,
OR-023,,Savage Rapids Dam,2009,42.42057,-123.23,"Grants Pass, OR",Rogue River,Middle Rogue,OR,39,500,1921,Grants Pass Irrigation District, Water Supply ,,,,,11/10/2017,,,,,,,,,,
OR-024,OR00595,Gold Ray Dam,2010,42.4369,-122.984,"Rivermile 125.6 on the Rogue River, near Central Point, Jackson County, OR.",Rogue River,Middle Rogue,OR,33 ft (wood crib dam) and 38 ft (concrete dam),360 ft (concrete dam),1904 (Wood crib dam) and 1941 (concrete dam),Jackson County,Hydropower until 1972,Concrete,,,Access to 333 miles of high quality spawning habitat; reclaims 1.5 miles of spawning habitat previously inundated by the dam's reservoir,11/10/2017,,,,,,,,,,
OR-025,,Powerdale Dam,2010,45.66498,-121.524,"Near Hood River, OR",Hood River,Middle Columbia-Hood,OR,10,206,1923,PacifiCorp ,Hydropower ,Concrete,,,3,11/10/2017,,,,,,,,,,
OR-026,,Sodom Dam,2011,44.40967,-123.045,"Shedd, Oregon",Calapooia River,Upper Willamette,OR,11,85,1858,Oregon Parks and Recreation Department,Water for historic Thompson Mill,Originally: pushup/timber; later: concrete,,,70 (includes future removal of Shearer Dam),11/10/2017,,,,,,,,,,
OR-029,,South Fork Necanicum Diversion Dam,2012,45.5336,-123.5,"Seaside, Clatsop County",South Fork Necanicum,Wilson-Trusk-Nestuccu,OR,8,50,1920s,City of Seaside,Domestic Drinking Water,Channel Spanning/Concrete,,,3.4,11/10/2017,,,,,,,,,,
